,Poll,Date,Sample,MoE,Biden (D),Trump (R),Spread
143,The Hill/HarrisXThe Hill,7/3 - 7/4,933 RV,3.2,43.0,39.0,Biden +4
144,Economist/YouGovYouGov,6/28 - 6/30,1198 RV,3.4,49.0,40.0,Biden +9
145,IBD/TIPPIBD/TIPP,6/27 - 6/30,1005 RV,3.1,48.0,40.0,Biden +8
146,MonmouthMonmouth,6/26 - 6/30,733 RV,3.6,53.0,41.0,Biden +12
147,CNBC/Change Research (D)CNBC,6/26 - 6/28,1663 LV,1.6,49.0,41.0,Biden +8
148,USA Today/SuffolkUSA Today,6/25 - 6/29,1000 RV,3.1,53.0,41.0,Biden +12
149,NPR/PBS/MaristNPR/PBS,6/22 - 6/24,1515 RV,3.5,52.0,44.0,Biden +8
150,The Hill/HarrisXThe Hill,6/22 - 6/23,951 RV,3.2,43.0,39.0,Biden +4
151,Economist/YouGovYouGov,6/21 - 6/23,1230 RV,3.3,49.0,41.0,Biden +8
152,CNBCCNBC,6/19 - 6/22,800 RV,3.5,47.0,38.0,Biden +9
153,NY Times/SienaNYT/Siena,6/17 - 6/22,1337 RV,3.0,50.0,36.0,Biden +14
154,Harvard-HarrisHarris,6/17 - 6/18,LV,--,56.0,44.0,Biden +12
155,Economist/YouGovYouGov,6/14 - 6/16,1160 RV,3.5,50.0,41.0,Biden +9
156,FOX NewsFOX News,6/13 - 6/16,1343 RV,2.5,50.0,38.0,Biden +12
157,QuinnipiacQuinnipiac,6/11 - 6/15,1332 RV,2.7,49.0,41.0,Biden +8
158,CNBC/Change Research (D)CNBC,6/10 - 6/12,1250 LV,2.8,51.0,41.0,Biden +10
159,Economist/YouGovYouGov,6/7 - 6/9,1241 RV,3.4,49.0,41.0,Biden +8
160,CNNCNN,6/2 - 6/5,1125 RV,3.6,55.0,41.0,Biden +14
161,NPR/PBS/MaristNPR/PBS,6/2 - 6/3,958 RV,4.0,50.0,43.0,Biden +7
162,EmersonEmerson,6/2 - 6/3,1431 RV,2.5,53.0,47.0,Biden +6
163,The Hill/HarrisXThe Hill,6/1 - 6/4,2827 RV,1.8,47.0,37.0,Biden +10
164,IBD/TIPPIBD/TIPP,5/31 - 6/3,964 RV,2.9,45.0,42.0,Biden +3
165,NBC News/Wall St. JrnlNBC/WSJ,5/28 - 6/2,1000 RV,3.1,49.0,42.0,Biden +7
166,Economist/YouGovYouGov,5/31 - 6/2,1244 RV,3.2,47.0,40.0,Biden +7
167,CNBCCNBC,5/29 - 5/31,1457 LV,2.6,48.0,41.0,Biden +7
168,MonmouthMonmouth,5/28 - 6/1,742 RV,3.6,52.0,41.0,Biden +11
169,CBS News/YouGovCBS News,5/29 - 6/1,1486 LV,2.6,47.0,43.0,Biden +4
170,ABC News/Wash PostABC/WP,5/25 - 5/28,835 RV,4.0,53.0,43.0,Biden +10
171,Economist/YouGovYouGov,5/23 - 5/26,1157 RV,3.4,45.0,42.0,Biden +3
172,FOX NewsFOX News,5/17 - 5/20,1207 RV,3.0,48.0,40.0,Biden +8
173,Rasmussen ReportsRasmussen,5/18 - 5/19,1000 LV,3.0,48.0,43.0,Biden +5
174,Economist/YouGovYouGov,5/17 - 5/19,1235 RV,3.2,47.0,42.0,Biden +5
175,CNBCCNBC,5/15 - 5/17,1424 LV,2.6,48.0,45.0,Biden +3
176,QuinnipiacQuinnipiac,5/14 - 5/18,1323 RV,2.7,50.0,39.0,Biden +11
177,The Hill/HarrisXThe Hill,5/13 - 5/14,950 RV,3.2,42.0,41.0,Biden +1
178,Harvard-HarrisHarris,5/13 - 5/14,1854 RV,2.0,53.0,47.0,Biden +6
179,Economist/YouGovYouGov,5/10 - 5/12,1175 RV,3.4,47.0,43.0,Biden +4
180,CNNCNN,5/7 - 5/10,1001 RV,3.7,51.0,46.0,Biden +5
181,Economist/YouGovYouGov,5/3 - 5/5,1209 RV,3.3,46.0,42.0,Biden +4
182,CNBCCNBC,5/1 - 5/3,1489 LV,2.5,47.0,44.0,Biden +3
183,MonmouthMonmouth,4/30 - 5/4,739 RV,3.6,50.0,41.0,Biden +9
184,CBS News/YouGovCBS News,4/28 - 5/1,1671 LV,2.5,49.0,43.0,Biden +6
185,IBD/TIPPIBD/TIPP,4/26 - 4/29,948 RV,3.3,43.0,43.0,Tie
186,EmersonEmerson,4/26 - 4/28,1200 RV,2.8,48.0,42.0,Biden +6
187,Economist/YouGovYouGov,4/26 - 4/28,1222 RV,3.2,47.0,41.0,Biden +6
188,USA Today/SuffolkUSA Today,4/21 - 4/25,1000 RV,3.0,50.0,40.0,Biden +10
189,Economist/YouGovYouGov,4/19 - 4/21,1144 RV,3.4,48.0,42.0,Biden +6
190,The Hill/HarrisXThe Hill,4/19 - 4/20,958 RV,3.2,42.0,40.0,Biden +2
191,NBC News/Wall St. JrnlNBC/WSJ,4/13 - 4/15,900 RV,3.3,49.0,42.0,Biden +7
192,Harvard-HarrisHarris,4/14 - 4/16,LV,--,53.0,47.0,Biden +6
193,Economist/YouGovYouGov,4/12 - 4/14,1166 RV,3.4,48.0,43.0,Biden +5
194,MonmouthMonmouth,4/3 - 4/7,743 RV,3.6,48.0,44.0,Biden +4
195,FOX NewsFOX News,4/4 - 4/7,1107 RV,3.0,42.0,42.0,Tie
196,Economist/YouGovYouGov,4/5 - 4/7,1147 RV,3.3,48.0,42.0,Biden +6
197,CNBCCNBC,4/3 - 4/6,604 RV,4.0,44.0,39.0,Biden +5
198,CNNCNN,4/3 - 4/6,875 RV,3.9,53.0,42.0,Biden +11
199,QuinnipiacQuinnipiac,4/2 - 4/6,2077 RV,2.2,49.0,41.0,Biden +8
200,IBD/TIPPIBD/TIPP,3/29 - 4/1,980 RV,3.2,47.0,41.0,Biden +6
201,Economist/YouGovYouGov,3/29 - 3/31,1194 RV,3.2,46.0,42.0,Biden +4
202,Grinnell/SelzerSelzer,3/27 - 3/30,777 LV,3.5,47.0,43.0,Biden +4
203,Harvard-HarrisHarris,3/24 - 3/26,2410 RV,2.0,55.0,45.0,Biden +10
204,ABC News/Wash PostABC/WP,3/22 - 3/25,845 RV,3.5,49.0,47.0,Biden +2
205,Economist/YouGovYouGov,3/22 - 3/24,1170 RV,3.4,46.0,42.0,Biden +4
206,FOX NewsFOX News,3/21 - 3/24,1011 RV,3.0,49.0,40.0,Biden +9
207,MonmouthMonmouth,3/18 - 3/22,754 RV,3.6,48.0,45.0,Biden +3
208,EmersonEmerson,3/18 - 3/19,1100 RV,2.9,53.0,47.0,Biden +6
209,Economist/YouGovYouGov,3/15 - 3/17,1129 RV,3.5,48.0,41.0,Biden +7
210,NBC News/Wall St. JrnlNBC/WSJ,3/11 - 3/13,900 RV,3.3,52.0,43.0,Biden +9
211,Economist/YouGovYouGov,3/8 - 3/10,1191 RV,2.9,47.0,43.0,Biden +4
212,CNNCNN,3/4 - 3/7,1084 RV,3.5,53.0,43.0,Biden +10
213,QuinnipiacQuinnipiac,3/5 - 3/8,1261 RV,2.8,52.0,41.0,Biden +11
214,Harvard-HarrisHarris,2/26 - 2/28,2592 RV,--,55.0,45.0,Biden +10
215,IBD/TIPPIBD/TIPP,2/20 - 2/29,839 RV,3.5,49.0,46.0,Biden +3
216,FOX NewsFOX News,2/23 - 2/26,1000 RV,3.0,49.0,41.0,Biden +8
217,CBS News/YouGovCBS News,2/20 - 2/22,10000 RV,1.2,47.0,45.0,Biden +2
218,ABC News/Wash PostABC/WP,2/14 - 2/17,913 RV,4.0,52.0,45.0,Biden +7
219,EmersonEmerson,2/16 - 2/18,1250 RV,2.7,48.0,52.0,Trump +4
220,NBC News/Wall St. JrnlNBC/WSJ,2/14 - 2/17,900 RV,3.3,52.0,44.0,Biden +8
221,NPR/PBS/MaristNPR/PBS,2/13 - 2/16,1164 RV,3.7,50.0,44.0,Biden +6
222,QuinnipiacQuinnipiac,2/5 - 2/9,1519 RV,2.5,50.0,43.0,Biden +7
223,NBC News/Wall St. JrnlNBC/WSJ,1/26 - 1/29,1000 RV,3.1,50.0,44.0,Biden +6
224,IBD/TIPPIBD/TIPP,1/23 - 1/30,856 RV,3.3,49.0,48.0,Biden +1
225,EmersonEmerson,1/21 - 1/23,1128 RV,2.8,50.0,50.0,Tie
226,ABC News/Wash PostABC/WP,1/20 - 1/23,880 RV,4.0,50.0,46.0,Biden +4
227,LA Times/USCLA Times,1/15 - 1/28,4869 RV,2.0,49.0,40.0,Biden +9
228,FOX NewsFOX News,1/19 - 1/22,1005 RV,3.0,50.0,41.0,Biden +9
229,CNNCNN,1/16 - 1/19,1051 RV,3.6,53.0,44.0,Biden +9
230,IBD/TIPPIBD/TIPP,1/3 - 1/11,846 RV,3.3,48.0,46.0,Biden +2
231,EmersonEmerson,12/15 - 12/17,1222 RV,2.7,52.0,48.0,Biden +4
232,CNNCNN,12/12 - 12/15,888 RV,4.0,49.0,44.0,Biden +5
233,USA Today/SuffolkUSA Today,12/10 - 12/14,1000 RV,3.0,41.0,44.0,Trump +3
234,IBD/TIPPIBD/TIPP,12/5 - 12/14,849 RV,3.5,50.0,45.0,Biden +5
235,FOX NewsFOX News,12/8 - 12/11,1000 RV,3.0,48.0,41.0,Biden +7
236,QuinnipiacQuinnipiac,12/4 - 12/9,1553 RV,2.5,51.0,42.0,Biden +9
237,SurveyUSASUSA,11/20 - 11/21,3850 RV,1.7,52.0,39.0,Biden +13
238,EmersonEmerson,11/17 - 11/20,1092 RV,2.9,49.0,51.0,Trump +2
239,NBC News/Wall St. JrnlNBC/WSJ,10/27 - 10/30,720 RV,3.7,50.0,41.0,Biden +9
240,ABC News/Wash PostABC/WP,10/27 - 10/30,876 RV,4.0,56.0,39.0,Biden +17
241,FOX NewsFOX News,10/27 - 10/30,1040 RV,3.0,51.0,39.0,Biden +12
242,IBD/TIPPIBD/TIPP,10/24 - 10/31,863 RV,3.5,53.0,43.0,Biden +10
243,EmersonEmerson,10/18 - 10/21,1000 RV,3.0,51.0,49.0,Biden +2
244,CNNCNN,10/17 - 10/20,892 RV,4.0,53.0,43.0,Biden +10
245,SurveyUSASUSA,10/15 - 10/16,3080 RV,2.1,52.0,41.0,Biden +11
246,FOX NewsFOX News,10/6 - 10/8,1003 RV,3.0,50.0,40.0,Biden +10
247,QuinnipiacQuinnipiac,10/4 - 10/7,1483 RV,3.1,51.0,40.0,Biden +11
248,IBD/TIPPIBD/TIPP,9/26 - 10/3,863 RV,3.5,51.0,44.0,Biden +7
249,Rasmussen ReportsRasmussen,9/23 - 9/24,1000 LV,3.0,43.0,47.0,Trump +4
250,EmersonEmerson,9/21 - 9/23,1019 RV,3.0,50.0,49.0,Biden +1
251,FOX NewsFOX News,9/15 - 9/17,1008 RV,3.0,52.0,38.0,Biden +14
252,SurveyUSASUSA,9/13 - 9/16,4520 RV,1.6,49.0,41.0,Biden +8
253,ABC News/Wash PostABC/WP,9/2 - 9/5,877 RV,4.0,55.0,40.0,Biden +15
254,IBD/TIPPIBD/TIPP,8/22 - 8/30,848 RV,3.5,54.0,42.0,Biden +12
255,EmersonEmerson,8/24 - 8/26,1458 RV,2.5,54.0,46.0,Biden +8
256,QuinnipiacQuinnipiac,8/21 - 8/26,1422 RV,4.6,54.0,38.0,Biden +16
257,FOX NewsFOX News,8/11 - 8/13,1013 RV,3.0,50.0,38.0,Biden +12
258,SurveyUSASUSA,8/1 - 8/5,5459 RV,1.6,50.0,42.0,Biden +8
259,IBD/TIPPIBD/TIPP,7/25 - 8/1,856 RV,3.5,54.0,41.0,Biden +13
260,EmersonEmerson,7/27 - 7/29,1233 RV,2.7,51.0,49.0,Biden +2
261,FOX NewsFOX News,7/21 - 7/23,1004 RV,3.0,49.0,39.0,Biden +10
262,NBC News/Wall St. JrnlNBC/WSJ,7/7 - 7/9,800 RV,3.5,51.0,42.0,Biden +9
263,EmersonEmerson,7/6 - 7/8,1100 RV,2.9,53.0,47.0,Biden +6
264,ABC News/Wash PostABC/WP,6/28 - 7/1,875 RV,4.0,53.0,43.0,Biden +10
265,Rasmussen ReportsRasmussen,6/23 - 7/2,4500 LV,1.5,48.0,44.0,Biden +4
266,EmersonEmerson,6/21 - 6/24,1096 RV,2.9,55.0,45.0,Biden +10
267,FOX NewsFOX News,6/9 - 6/12,1001 RV,3.0,49.0,39.0,Biden +10
268,QuinnipiacQuinnipiac,6/6 - 6/10,1214 RV,3.5,53.0,40.0,Biden +13
269,FOX NewsFOX News,5/11 - 5/14,1001 RV,3.0,49.0,38.0,Biden +11
270,EmersonEmerson,5/10 - 5/13,1006 RV,3.0,54.0,46.0,Biden +8
271,CNNCNN,4/25 - 4/29,470 RV,5.5,51.0,45.0,Biden +6
272,The Hill/HarrisXThe Hill,4/25 - 4/26,1000 RV,3.1,43.0,37.0,Biden +6
273,Politico/Morning ConsultPolitico,4/19 - 4/21,1992 RV,2.0,42.0,34.0,Biden +8
274,EmersonEmerson,4/11 - 4/14,914 RV,3.2,53.0,47.0,Biden +6
275,PPP (D)PPP (D),3/27 - 3/28,846 RV,3.4,53.0,40.0,Biden +13
276,Rasmussen ReportsRasmussen,3/17 - 3/21,5000 LV,1.5,49.0,44.0,Biden +5
277,FOX NewsFOX News,3/17 - 3/20,1002 RV,3.0,47.0,40.0,Biden +7
278,EmersonEmerson,3/17 - 3/18,1153 RV,2.8,55.0,45.0,Biden +10
279,EmersonEmerson,2/14 - 2/16,1000 RV,3.3,55.0,45.0,Biden +10
280,PPP (D)PPP (D),1/19 - 1/21,760 RV,3.6,53.0,41.0,Biden +12
281,PPP (D)PPP (D),6/8 - 6/10,679 RV,3.8,53.0,39.0,Biden +14
282,PPP (D)PPP (D),3/23 - 3/25,846 RV,3.4,56.0,39.0,Biden +17
283,PPP (D)PPP (D),2/9 - 2/11,687 RV,3.7,51.0,42.0,Biden +9
284,CNNCNN,1/14 - 1/18,918 RV,3.8,57.0,40.0,Biden +17
285,PPP (D)PPP (D),12/11 - 12/12,862 RV,3.3,54.0,40.0,Biden +14
286,PPP (D)PPP (D),10/27 - 10/29,572 RV,4.1,56.0,38.0,Biden +18
287,EmersonEmerson,10/12 - 10/14,820 RV,3.4,51.0,42.0,Biden +9
288,PPP (D)PPP (D),9/22 - 9/25,865 RV,3.3,53.0,40.0,Biden +13
289,PPP (D)PPP (D),8/18 - 8/21,887 RV,3.3,51.0,39.0,Biden +12
290,PPP (D)PPP (D),7/14 - 7/17,836 RV,3.4,54.0,39.0,Biden +15
291,PPP (D)PPP (D),6/9 - 6/11,811 RV,3.4,54.0,41.0,Biden +13
292,PPP (D)PPP (D),5/12 - 5/14,692 RV,3.7,54.0,40.0,Biden +14
293,PPP (D)PPP (D),4/17 - 4/18,648 RV,3.9,54.0,40.0,Biden +14
294,PPP (D)PPP (D),3/27 - 3/28,677 RV,3.8,54.0,40.0,Biden +14
